ts,protons_gt_1MeV,protons_gt_5MeV,protons_gt_10MeV,protons_gt_30MeV,protons_gt_50MeV,protons_gt_100MeV,electrons_gt_0_8MeV,electrons_gt_2_0MeV,F10_7,speed_km_s,density_protons_cm3,P10_max,група
2017-08-31 15:00:00,10.489166666666668,0.22316666666666665,0.16283333333333333,0.10158333333333334,0.08168333333333334,0.04106666666666667,6577.5,32.233333333333334,92.0,600.0,3.4,0.259,тиха
2017-08-31 16:00:00,11.461666666666666,0.24491666666666667,0.19683333333333333,0.102175,0.08285,0.04481666666666667,13766.666666666666,61.80833333333334,92.0,587.0,3.7,0.322,тиха
2017-08-31 17:00:00,18.685,0.2698333333333333,0.18475,0.09825833333333334,0.079025,0.043175,22725.0,95.48333333333333,92.0,583.0,3.1,0.306,тиха
2017-08-31 18:00:00,10.998333333333333,0.28025,0.1885,0.097775,0.07083333333333333,0.03966666666666667,32383.333333333332,172.66666666666666,92.0,573.0,3.0,0.305,тиха
2017-08-31 19:00:00,17.52,0.26572727272727276,0.19490909090909092,0.07950909090909092,0.0668909090909091,0.03825454545454546,37281.818181818184,232.36363636363637,92.0,570.0,2.8,0.309,тиха
2017-08-31 20:00:00,17.041666666666668,0.22141666666666668,0.162,0.08833333333333333,0.07155,0.04046666666666667,46675.0,399.8333333333333,92.0,569.0,2.6,0.316,тиха
2017-08-31 21:00:00,18.183333333333334,0.21208333333333332,0.16441666666666666,0.08695000000000001,0.07324166666666666,0.034325,47291.666666666664,420.9166666666667,92.0,568.0,2.3,0.309,тиха
2017-08-31 22:00:00,23.40833333333333,0.25066666666666665,0.17333333333333334,0.07866666666666666,0.06605833333333334,0.036475,53183.333333333336,498.8333333333333,92.0,562.0,2.1,0.26,тиха
2017-08-31 23:00:00,19.208333333333332,0.24316666666666667,0.17683333333333331,0.09864166666666667,0.08278333333333333,0.038283333333333336,55975.0,552.1666666666666,92.0,555.0,2.9,0.272,тиха
2017-09-01 00:00:00,11.685833333333333,0.25758333333333333,0.1825,0.09224166666666667,0.07245,0.03676666666666667,49658.333333333336,387.75,93.0,556.0,3.0,0.273,тиха
2017-09-01 01:00:00,5.2908333333333335,0.22866666666666668,0.17174999999999999,0.07789166666666666,0.0622,0.032225,50075.0,333.0,93.0,554.0,2.1,0.264,тиха
2017-09-01 02:00:00,6.614166666666667,0.23758333333333334,0.157,0.08510833333333334,0.06631666666666666,0.030783333333333333,57058.333333333336,516.25,93.0,536.0,1.5,0.219,тиха
2017-09-01 03:00:00,4.84,0.31333333333333335,0.1865,0.08418333333333333,0.06893333333333333,0.037725,36766.666666666664,242.51666666666665,93.0,537.0,1.8,0.397,тиха
2017-09-01 04:00:00,6.1225,0.24875,0.16774999999999998,0.079975,0.066275,0.038891666666666665,56000.0,568.0833333333334,93.0,546.0,3.0,0.32,тиха
2017-09-01 05:00:00,5.088333333333334,0.23091666666666666,0.1665,0.08485833333333333,0.06855,0.036458333333333336,39525.0,355.6666666666667,93.0,572.0,3.1,0.361,тиха
2017-09-01 06:00:00,4.650833333333334,0.22624999999999998,0.17458333333333334,0.08396666666666668,0.06304166666666668,0.03225833333333333,30216.666666666668,260.5833333333333,93.0,568.0,2.6,0.231,тиха
2017-09-01 07:00:00,4.104166666666667,0.2970833333333333,0.1905,0.08896666666666668,0.0717,0.03718333333333334,27158.333333333332,245.58333333333334,93.0,597.0,4.1,0.314,тиха
2017-09-01 08:00:00,3.965833333333333,0.26425,0.16733333333333333,0.09713333333333334,0.07159166666666666,0.03966666666666666,17233.333333333332,147.54999999999998,93.0,604.0,5.2,0.267,тиха
2017-09-01 09:00:00,2.263333333333333,0.22591666666666665,0.17433333333333334,0.08381666666666666,0.06749166666666666,0.0313,20483.333333333332,160.41666666666666,93.0,607.0,3.5,0.362,тиха
2017-09-01 10:00:00,3.3349999999999995,0.30816666666666664,0.216,0.09075,0.070625,0.03751666666666666,16708.333333333332,121.8,93.0,648.0,2.1,0.392,тиха
2017-09-01 11:00:00,1.6008333333333333,0.23216666666666666,0.16808333333333333,0.09356666666666667,0.07811666666666667,0.049999999999999996,7475.0,52.425000000000004,93.0,641.0,2.6,0.251,тиха
